,地下水観測値,,,,,
2016/1/1,-5.32,,,,,
2016/1/2,-5.36,,,,,
2016/1/3,-5.41,,,,,
2016/1/4,-5.45,,,,,
2016/1/5,-5.5,,,,,
2016/1/6,-5.54,,,,,
2016/1/7,-5.59,,,,,
2016/1/8,-5.64,,,,,
2016/1/9,-5.69,,,,,
2016/1/10,-5.73,,,,,
2016/1/11,-5.78,,,,,
2016/1/12,-5.83,,,,,
2016/1/13,-5.87,,,,,
2016/1/14,-5.92,,,,,
2016/1/15,-5.95,,,,,
2016/1/16,-5.97,,,,,
2016/1/17,-6.01,,,,,
2016/1/18,-6.05,,,,,
2016/1/19,-6.08,,,,,
2016/1/20,-6.13,,,,,
2016/1/21,-6.16,,,,,
2016/1/22,-6.19,,,,,
2016/1/23,-6.21,,,,,
2016/1/24,-6.25,,,,,
2016/1/25,-6.28,,,,,
2016/1/26,-6.32,,,,,
2016/1/27,-6.34,,,,,
2016/1/28,-6.37,,,,,
2016/1/29,-6.4,,,,,
2016/1/30,-6.43,,,,,
2016/1/31,-6.45,,,,,
2016/2/1,-6.48,,,,,
2016/2/2,-6.51,,,,,
2016/2/3,-6.54,,,,,
2016/2/4,-6.57,,,,,
2016/2/5,-6.59,,,,,
2016/2/6,-6.62,,,,,
2016/2/7,-6.65,,,,,
2016/2/8,-6.68,,,,,
2016/2/9,-6.7,,,,,
2016/2/10,-6.73,,,,,
2016/2/11,-6.75,,,,,
2016/2/12,-6.78,,,,,
2016/2/13,-6.81,,,,,
2016/2/14,-6.84,,,,,
2016/2/15,-6.87,,,,,
2016/2/16,-6.91,,,,,
2016/2/17,-6.94,,,,,
2016/2/18,-6.96,,,,,
2016/2/19,-6.97,,,,,
2016/2/20,-6.99,,,,,
2016/2/21,-7.01,,,,,
2016/2/22,-7.04,,,,,
2016/2/23,-7.06,,,,,
2016/2/24,-7.09,,,,,
2016/2/25,-7.11,,,,,
2016/2/26,-7.14,,,,,
2016/2/27,-7.15,,,,,
2016/2/28,-7.17,,,,,
2016/2/29,-7.18,,,,,
2016/3/1,-7.15,,,,,
2016/3/2,-7.16,,,,,
2016/3/3,-7.13,,,,,
2016/3/4,-7.1,,,,,
2016/3/5,-7.09,,,,,
2016/3/6,-7.07,,,,,
2016/3/7,-7.06,,,,,
2016/3/8,-7.05,,,,,
2016/3/9,-7.01,,,,,
2016/3/10,-6.99,,,,,
2016/3/11,-6.98,,,,,
2016/3/12,-6.97,,,,,
2016/3/13,-6.97,,,,,
2016/3/14,-6.99,,,,,
2016/3/15,-7,,,,,
2016/3/16,-7.01,,,,,
2016/3/17,-7.02,,,,,
2016/3/18,-7.02,,,,,
2016/3/19,-7.03,,,,,
2016/3/20,-7.04,,,,,
2016/3/21,-7.05,,,,,
2016/3/22,-7.07,,,,,
2016/3/23,-7.08,,,,,
2016/3/24,-7.1,,,,,
2016/3/25,-7.12,,,,,
2016/3/26,-7.14,,,,,
2016/3/27,-7.15,,,,,
2016/3/28,-7.17,,,,,
2016/3/29,-7.19,,,,,
2016/3/30,-7.2,,,,,
2016/3/31,-7.18,,,,,
2016/4/1,-7.15,,,,,
2016/4/2,-7.16,,,,,
2016/4/3,-7.13,,,,,
2016/4/4,-7.1,,,,,
2016/4/5,-7.09,,,,,
2016/4/6,-7.07,,,,,
2016/4/7,-7.06,,,,,
2016/4/8,-7.05,,,,,
2016/4/9,-7.01,,,,,
2016/4/10,-6.99,,,,,
2016/4/11,-6.98,,,,,
2016/4/12,-6.97,,,,,
2016/4/13,-6.97,,,,,
2016/4/14,-6.99,,,,,
2016/4/15,-7,,,,,
2016/4/16,-7.01,,,,,
2016/4/17,-7.02,,,,,
2016/4/18,-7.02,,,,,
2016/4/19,-7.03,,,,,
2016/4/20,-7.04,,,,,
2016/4/21,-7.05,,,,,
2016/4/22,-7.07,,,,,
2016/4/23,-7.08,,,,,
2016/4/24,-7.1,,,,,
2016/4/25,-7.12,,,,,
2016/4/26,-7.14,,,,,
2016/4/27,-7.15,,,,,
2016/4/28,-7.17,,,,,
2016/4/29,-7.19,,,,,
2016/4/30,-7.2,,,,,
2016/5/1,-6.99,,,,,
2016/5/2,-7,,,,,
2016/5/3,-7.02,,,,,
2016/5/4,-7.04,,,,,
2016/5/5,-7.05,,,,,
2016/5/6,-7.08,,,,,
2016/5/7,-7.1,,,,,
2016/5/8,-7.12,,,,,
2016/5/9,-7.13,,,,,
2016/5/10,-7.15,,,,,
2016/5/11,-7.17,,,,,
2016/5/12,-7.18,,,,,
2016/5/13,-7.11,,,,,
2016/5/14,-7.11,,,,,
2016/5/15,-7.11,,,,,
2016/5/16,-7.12,,,,,
2016/5/17,-7.13,,,,,
2016/5/18,-7.15,,,,,
2016/5/19,-7.16,,,,,
2016/5/20,-7.17,,,,,
2016/5/21,-7.17,,,,,
2016/5/22,-7.18,,,,,
2016/5/23,-7.18,,,,,
2016/5/24,-7.19,,,,,
2016/5/25,-7.21,,,,,
2016/5/26,-7.22,,,,,
2016/5/27,-7.24,,,,,
2016/5/28,-7.25,,,,,
2016/5/29,-7.27,,,,,
2016/5/30,-7.28,,,,,
2016/5/31,-7.3,,,,,
2016/6/1,-7.31,,,,,
2016/6/2,-7.33,,,,,
2016/6/3,-7.33,,,,,
2016/6/4,-7.34,,,,,
2016/6/5,-7.35,,,,,
2016/6/6,-7.26,,,,,
2016/6/7,-7.21,,,,,
2016/6/8,-7.19,,,,,
2016/6/9,-7.14,,,,,
2016/6/10,-7.09,,,,,
2016/6/11,-7.07,,,,,
2016/6/12,-7.05,,,,,
2016/6/13,-7.04,,,,,
2016/6/14,-7.03,,,,,
2016/6/15,-7.04,,,,,
2016/6/16,-7.04,,,,,
2016/6/17,-7.04,,,,,
2016/6/18,-7.02,,,,,
2016/6/19,-6.99,,,,,
2016/6/20,-6.92,,,,,
2016/6/21,-6.87,,,,,
2016/6/22,-6.85,,,,,
2016/6/23,-6.83,,,,,
2016/6/24,-6.82,,,,,
2016/6/25,-6.81,,,,,
2016/6/26,-6.81,,,,,
2016/6/27,-6.8,,,,,
2016/6/28,-6.8,,,,,
2016/6/29,-6.8,,,,,
2016/6/30,-6.8,,,,,
2016/7/1,-6.81,,,,,
2016/7/2,-6.81,,,,,
2016/7/3,-6.76,,,,,
2016/7/4,-6.65,,,,,
2016/7/5,-6.56,,,,,
2016/7/6,-6.47,,,,,
2016/7/7,-6.36,,,,,
2016/7/8,-6.28,,,,,
2016/7/9,-6.2,,,,,
2016/7/10,-6.13,,,,,
2016/7/11,-6.07,,,,,
2016/7/12,-6.03,,,,,
2016/7/13,-6,,,,,
2016/7/14,-5.98,,,,,
2016/7/15,-5.98,,,,,
2016/7/16,-5.72,,,,,
2016/7/17,-5.29,,,,,
2016/7/18,-5.02,,,,,
2016/7/19,-4.9,,,,,
2016/7/20,-4.86,,,,,
2016/7/21,-4.84,,,,,
2016/7/22,-4.83,,,,,
2016/7/23,-4.83,,,,,
2016/7/24,-4.83,,,,,
2016/7/25,-4.84,,,,,
2016/7/26,-4.84,,,,,
2016/7/27,-4.85,,,,,
2016/7/28,-4.85,,,,,
2016/7/29,-4.86,,,,,
2016/7/30,-4.79,,,,,
2016/7/31,-4.73,,,,,
2016/8/1,-4.71,,,,,
2016/8/2,-4.69,,,,,
2016/8/3,-4.68,,,,,
2016/8/4,-4.67,,,,,
2016/8/5,-4.67,,,,,
2016/8/6,-4.68,,,,,
2016/8/7,-4.68,,,,,
2016/8/8,-4.69,,,,,
2016/8/9,-4.69,,,,,
2016/8/10,-4.69,,,,,
2016/8/11,-4.69,,,,,
2016/8/12,-4.69,,,,,
2016/8/13,-4.69,,,,,
2016/8/14,-4.69,,,,,
2016/8/15,-4.71,,,,,
2016/8/16,-4.72,,,,,
2016/8/17,-4.57,,,,,
2016/8/18,-4.47,,,,,
2016/8/19,-4.41,,,,,
2016/8/20,-4.35,,,,,
2016/8/21,-4.31,,,,,
2016/8/22,-4.28,,,,,
2016/8/23,-4.26,,,,,
2016/8/24,-4.24,,,,,
2016/8/25,-4.23,,,,,
2016/8/26,-4.17,,,,,
2016/8/27,-4.13,,,,,
2016/8/28,-4.1,,,,,
2016/8/29,-4.07,,,,,
2016/8/30,-4.05,,,,,
2016/8/31,-4.03,,,,,
2016/9/1,-4.01,,,,,
2016/9/2,-3.99,,,,,
2016/9/3,-3.97,,,,,
2016/9/4,-3.94,,,,,
2016/9/5,-3.91,,,,,
2016/9/6,-3.89,,,,,
2016/9/7,-3.84,,,,,
2016/9/8,-3.71,,,,,
2016/9/9,-3.04,,,,,
2016/9/10,-2.61,,,,,
2016/9/11,-2.66,,,,,
2016/9/12,-2.72,,,,,
2016/9/13,-2.76,,,,,
2016/9/14,-2.8,,,,,
2016/9/15,-2.81,,,,,
2016/9/16,-2.82,,,,,
2016/9/17,-2.72,,,,,
2016/9/18,-2.59,,,,,
2016/9/19,-2.58,,,,,
2016/9/20,-2.6,,,,,
2016/9/21,-2.63,,,,,
2016/9/22,-2.66,,,,,
2016/9/23,-2.68,,,,,
2016/9/24,-2.69,,,,,
2016/9/25,-2.67,,,,,
2016/9/26,-2.65,,,,,
2016/9/27,-2.66,,,,,
2016/9/28,-2.68,,,,,
2016/9/29,-2.7,,,,,
2016/9/30,-2.72,,,,,
2016/10/1,-2.72,,,,,
2016/10/2,-2.69,,,,,
2016/10/3,-2.71,,,,,
2016/10/4,-2.73,,,,,
2016/10/5,-2.74,,,,,
2016/10/6,-2.75,,,,,
2016/10/7,-2.76,,,,,
2016/10/8,-2.77,,,,,
2016/10/9,-2.8,,,,,
2016/10/10,-2.82,,,,,
2016/10/11,-2.83,,,,,
2016/10/12,-2.85,,,,,
2016/10/13,-2.87,,,,,
2016/10/14,-2.9,,,,,
2016/10/15,-2.92,,,,,
2016/10/16,-2.93,,,,,
2016/10/17,-2.93,,,,,
2016/10/18,-2.95,,,,,
2016/10/19,-2.97,,,,,
2016/10/20,-2.99,,,,,
2016/10/21,-3.02,,,,,
2016/10/22,-3.04,,,,,
2016/10/23,-3.07,,,,,
2016/10/24,-3.09,,,,,
2016/10/25,-3.12,,,,,
2016/10/26,-3.15,,,,,
2016/10/27,-3.18,,,,,
2016/10/28,-3.2,,,,,
2016/10/29,-3.24,,,,,
2016/10/30,-3.27,,,,,
2016/10/31,-3.3,,,,,
2016/11/1,-2.72,,,,,
2016/11/2,-2.69,,,,,
2016/11/3,-2.71,,,,,
2016/11/4,-2.73,,,,,
2016/11/5,-2.74,,,,,
2016/11/6,-2.75,,,,,
2016/11/7,-2.76,,,,,
2016/11/8,-2.77,,,,,
2016/11/9,-2.8,,,,,
2016/11/10,-2.82,,,,,
2016/11/11,-2.83,,,,,
2016/11/12,-2.85,,,,,
2016/11/13,-2.87,,,,,
2016/11/14,-2.9,,,,,
2016/11/15,-2.92,,,,,
2016/11/16,-2.93,,,,,
2016/11/17,-2.93,,,,,
2016/11/18,-2.95,,,,,
2016/11/19,-2.97,,,,,
2016/11/20,-2.99,,,,,
2016/11/21,-3.02,,,,,
2016/11/22,-3.04,,,,,
2016/11/23,-3.07,,,,,
2016/11/24,-3.09,,,,,
2016/11/25,-3.12,,,,,
2016/11/26,-3.15,,,,,
2016/11/27,-3.18,,,,,
2016/11/28,-3.2,,,,,
2016/11/29,-3.24,,,,,
2016/11/30,-3.27,,,,,
2016/12/1,-3.3,,,,,
2016/12/2,-3.34,,,,,
2016/12/3,-3.33,,,,,
2016/12/4,-3.35,,,,,
2016/12/5,-3.39,,,,,
2016/12/6,-3.42,,,,,
2016/12/7,-3.45,,,,,
2016/12/8,-3.48,,,,,
2016/12/9,-3.51,,,,,
2016/12/10,-3.53,,,,,
2016/12/11,-3.57,,,,,
2016/12/12,-3.6,,,,,
2016/12/13,-3.63,,,,,
2016/12/14,-3.66,,,,,
2016/12/15,-3.69,,,,,
2016/12/16,-3.7,,,,,
2016/12/17,-3.74,,,,,
2016/12/18,-3.77,,,,,
2016/12/19,-3.8,,,,,
2016/12/20,-3.78,,,,,
2016/12/21,-3.79,,,,,
2016/12/22,-3.81,,,,,
2016/12/23,-3.84,,,,,
2016/12/24,-3.87,,,,,
2016/12/25,-3.9,,,,,
2016/12/26,-3.93,,,,,
2016/12/27,-3.92,,,,,
2016/12/28,-3.94,,,,,
2016/12/29,-3.97,,,,,
2016/12/30,-4,,,,,